id_employee,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augmentation_salaire_precedente,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,score_revenu,score_environnement_travail,score_mobilite_externe,score_mobilite_interne,score_equilibre_pro_perso
18,34,M,2661,Divorce(e),Consulting,Consultant,0,3,2,2,2,3,1,4,3,3,Non,11,Non,1,2,19,2,Transformation Digitale,Occasionnel,1,2,33.67,61.18,66.67,100.0,63.1
19,28,M,2028,Celibataire,Consulting,Consultant,5,6,4,2,3,2,1,3,2,3,Oui,14,Oui,0,4,24,3,Infra & Cloud,Occasionnel,0,3,41.84,51.76,66.67,50.0,33.63
20,29,F,9980,Divorce(e),Consulting,Tech Lead,1,10,10,9,2,4,3,1,3,3,Non,11,Non,1,1,21,4,Infra & Cloud,Occasionnel,8,8,30.99,34.71,100.0,90.0,61.31
21,32,M,3298,Divorce(e),Consulting,Assistant de Direction,0,7,6,2,1,4,1,2,4,2,Oui,12,Non,2,5,5,2,Infra & Cloud,Occasionnel,0,5,39.33,42.94,85.71,33.33,42.26
22,22,M,2935,Divorce(e),Consulting,Consultant,1,1,1,0,4,4,1,4,2,2,Oui,13,Non,2,2,16,2,Transformation Digitale,Aucun,0,0,41.06,70.0,100.0,0.0,44.94
23,53,F,15427,Marie(e),Commercial,Senior Manager,2,31,25,8,1,2,4,4,3,3,Non,16,Non,0,3,2,4,Infra & Cloud,Occasionnel,3,7,63.24,54.12,80.65,32.0,78.27
24,38,M,3944,Celibataire,Consulting,Assistant de Direction,5,6,3,2,4,3,1,4,3,3,Oui,11,Non,0,3,2,3,Infra & Cloud,Occasionnel,1,2,35.9,81.18,50.0,66.67,53.27
26,24,F,4011,Divorce(e),Consulting,Tech Lead,0,5,4,2,1,4,2,3,4,2,Non,18,Non,1,5,11,2,Autre,Aucun,1,3,52.52,51.76,80.0,50.0,74.4
27,36,M,3407,Celibataire,Commercial,Representant Commercial,7,10,5,3,3,2,1,1,2,3,Non,23,Oui,0,4,9,4,Infra & Cloud,Occasionnel,0,3,65.45,31.76,50.0,60.0,72.02
28,34,F,11994,Celibataire,Consulting,Directeur Technique,0,13,12,6,1,3,3,2,3,3,Non,11,Non,0,4,7,4,Infra & Cloud,Occasionnel,2,11,47.69,36.47,92.31,50.0,73.81
30,21,M,1232,Celibataire,Consulting,Assistant de Direction,1,0,0,0,3,3,1,4,4,3,Non,14,Non,0,6,15,2,Infra & Cloud,Occasionnel,0,0,40.46,80.0,0.0,0.0,66.67
31,34,M,2960,Celibataire,Consulting,Assistant de Direction,2,8,4,2,2,3,1,1,3,3,Non,11,Oui,0,2,6,1,Transformation Digitale,Occasionnel,1,3,34.19,31.76,50.0,50.0,74.7
32,53,F,19094,Divorce(e),Consulting,Senior Manager,4,26,14,13,3,3,5,3,4,2,Non,11,Non,1,3,5,3,Autre,Occasionnel,4,8,55.63,74.71,53.85,92.86,67.26
33,32,F,3919,Celibataire,Consulting,Assistant de Direction,1,10,10,2,2,1,1,1,2,3,Oui,22,Oui,0,5,16,1,Infra & Cloud,Frequent,6,7,50.79,24.12,100.0,20.0,28.27
35,42,M,6825,Marie(e),Commercial,Cadre Commercial,0,10,9,7,3,3,2,2,4,3,Non,11,Non,1,2,8,4,Marketing,Occasionnel,4,2,34.31,61.18,90.0,77.78,72.92
36,44,F,10248,Marie(e),Consulting,Manager,3,24,22,6,1,2,3,4,4,3,Non,14,Non,1,4,7,4,Transformation Digitale,Occasionnel,5,17,45.13,70.0,91.67,27.27,73.81
38,46,F,18947,Celibataire,Commercial,Senior Manager,3,22,2,2,2,3,5,1,4,2,Non,12,Non,0,2,2,4,Marketing,Occasionnel,2,1,62.13,40.59,9.09,100.0,69.94
39,33,M,2496,Celibataire,Consulting,Consultant,4,7,1,1,3,3,1,4,4,3,Non,11,Non,0,3,2,3,Transformation Digitale,Occasionnel,0,0,35.58,80.0,14.29,100.0,78.27
40,44,M,6465,Marie(e),Consulting,Manager,2,9,4,2,4,3,2,4,4,4,Oui,13,Non,0,5,10,4,Autre,Occasionnel,1,3,45.0,91.76,44.44,50.0,54.46
41,30,M,2206,Celibataire,Consulting,Consultant,1,10,10,0,4,2,1,3,1,3,Non,13,Non,0,5,9,2,Transformation Digitale,Occasionnel,1,8,37.59,54.71,100.0,0.0,72.02
42,39,M,2086,Marie(e),Commercial,Representant Commercial,3,19,1,0,4,3,2,4,3,4,Non,14,Oui,1,6,5,3,Entrepreunariat,Occasionnel,0,0,41.94,80.0,5.26,0.0,83.93
45,24,M,2293,Marie(e),Consulting,Assistant de Direction,2,6,2,0,2,3,1,4,1,2,Oui,16,Oui,1,2,1,3,Transformation Digitale,Occasionnel,2,0,42.62,40.0,33.33,0.0,45.83
46,43,F,2645,Divorce(e),Consulting,Assistant de Direction,1,6,5,3,4,4,1,3,4,2,Non,12,Non,2,3,2,2,Transformation Digitale,Occasionnel,1,4,36.0,82.35,83.33,60.0,69.94
47,50,M,2683,Marie(e),Commercial,Representant Commercial,1,3,3,2,1,2,1,3,3,3,Oui,14,Oui,0,2,3,2,Marketing,Occasionnel,0,2,42.98,41.18,100.0,66.67,52.38
49,35,F,2014,Marie(e),Commercial,Representant Commercial,1,2,2,2,4,3,1,4,1,3,Non,13,Non,0,3,2,3,Marketing,Occasionnel,2,2,35.06,61.18,100.0,100.0,78.27
51,36,F,3419,Marie(e),Consulting,Assistant de Direction,9,6,1,1,2,2,1,1,4,4,Oui,14,Non,1,3,5,4,Infra & Cloud,Occasionnel,0,0,44.26,40.0,16.67,100.0,58.93
52,33,F,5376,Marie(e),Commercial,Cadre Commercial,2,10,5,3,3,4,2,1,1,3,Non,19,Non,2,3,1,3,Infra & Cloud,Frequent,1,3,57.25,21.76,50.0,60.0,66.67
53,35,M,1951,Divorce(e),Consulting,Consultant,1,1,1,0,3,3,1,4,3,3,Non,12,Non,1,3,4,2,Autre,Occasionnel,0,0,36.99,70.0,100.0,0.0,76.49
54,27,F,2341,Divorce(e),Consulting,Consultant,1,1,1,0,4,3,1,1,4,3,Non,13,Non,1,6,2,4,Infra & Cloud,Occasionnel,0,0,40.03,60.0,100.0,0.0,78.27
55,26,M,2293,Celibataire,Consulting,Consultant,1,1,1,0,1,1,1,3,3,2,Non,12,Oui,0,2,25,3,Infra & Cloud,Occasionnel,0,1,37.59,40.59,100.0,0.0,49.4
56,27,M,8726,Celibataire,Commercial,Cadre Commercial,1,9,9,8,4,3,3,3,4,3,Non,15,Non,0,0,8,3,Infra & Cloud,Frequent,1,7,53.64,84.12,100.0,88.89,60.42
57,30,F,4011,Celibataire,Consulting,Consultant,1,12,12,8,3,3,2,4,4,3,Non,23,Non,0,2,1,2,Transformation Digitale,Frequent,3,7,59.9,84.12,100.0,66.67,66.67
58,41,F,19545,Marie(e),Consulting,Directeur Technique,1,23,22,15,2,3,5,3,4,3,Non,12,Oui,0,0,12,3,Entrepreunariat,Occasionnel,15,8,34.57,64.71,95.65,68.18,69.35
60,34,M,4568,Celibataire,Commercial,Cadre Commercial,0,10,9,5,2,3,2,3,3,3,Non,20,Non,0,2,23,4,Marketing,Aucun,8,7,42.8,54.12,90.0,55.56,72.02
61,37,M,3022,Marie(e),Consulting,Assistant de Direction,4,8,1,0,2,3,1,2,1,3,Non,21,Non,0,1,19,2,Infra & Cloud,Occasionnel,0,0,60.07,20.0,12.5,0.0,63.1
62,46,M,5772,Celibataire,Commercial,Cadre Commercial,4,14,9,6,1,3,2,4,3,3,Oui,21,Non,0,4,5,4,Marketing,Frequent,0,8,64.85,54.71,64.29,66.67,38.1
63,35,M,2269,Marie(e),Consulting,Consultant,1,1,1,0,4,4,1,4,4,3,Non,19,Non,0,2,8,1,Infra & Cloud,Occasionnel,0,1,54.05,90.59,100.0,0.0,72.92
64,48,M,5381,Celibataire,Consulting,Consultant,9,23,1,0,1,2,3,3,4,3,Oui,13,Oui,0,2,1,2,Infra & Cloud,Occasionnel,0,0,45.31,50.0,4.35,0.0,54.17
65,28,M,3441,Celibataire,Consulting,Consultant,1,2,2,2,3,3,1,3,3,2,Oui,13,Oui,0,3,5,4,Entrepreunariat,Occasionnel,2,2,37.54,61.18,100.0,100.0,42.26
68,44,F,5454,Divorce(e),Commercial,Cadre Commercial,5,9,4,3,2,3,2,1,3,2,Oui,21,Non,1,2,1,5,Marketing,Occasionnel,1,3,62.1,31.76,44.44,75.0,45.83
70,35,M,9884,Marie(e),Consulting,Manager,2,10,4,0,3,2,3,1,3,3,Oui,13,Non,1,3,11,2,Transformation Digitale,Aucun,2,3,48.74,41.76,40.0,0.0,57.74
72,26,F,4157,Marie(e),Commercial,Cadre Commercial,7,5,2,2,3,2,2,4,3,2,Oui,19,Non,1,2,23,3,Marketing,Occasionnel,0,0,57.33,70.0,40.0,100.0,26.19
73,33,F,13458,Celibataire,Consulting,Directeur Technique,1,15,15,14,1,3,3,4,3,3,Oui,12,Non,0,1,1,2,Infra & Cloud,Frequent,8,12,39.39,57.06,100.0,93.33,41.67
74,35,M,9069,Marie(e),Commercial,Cadre Commercial,1,9,9,8,2,3,3,1,4,2,Non,22,Non,1,3,18,5,Infra & Cloud,Frequent,1,8,70.73,44.71,100.0,88.89,43.15
75,35,F,4014,Marie(e),Consulting,Consultant,3,4,2,2,3,3,1,1,3,3,Oui,15,Non,1,3,23,4,Transformation Digitale,Occasionnel,2,2,43.25,41.18,50.0,100.0,34.52
76,31,M,5915,Divorce(e),Consulting,Consultant,3,10,7,7,4,3,2,4,4,2,Non,22,Non,1,3,7,4,Infra & Cloud,Occasionnel,1,7,65.25,94.12,70.0,100.0,65.48
77,37,M,5993,Divorce(e),Consulting,Tech Lead,1,7,7,5,1,2,2,3,3,4,Non,18,Non,1,2,1,4,Infra & Cloud,Occasionnel,0,7,58.16,44.12,100.0,71.43,87.5
78,32,M,6162,Marie(e),Consulting,Tech Lead,1,9,9,8,1,3,2,4,2,3,Oui,22,Non,1,3,1,3,Transformation Digitale,Occasionnel,7,8,52.48,44.71,100.0,88.89,54.17
79,38,F,2406,Celibataire,Consulting,Consultant,1,10,10,3,4,3,2,4,4,3,Non,11,Non,0,2,29,5,Infra & Cloud,Frequent,9,9,15.63,95.29,100.0,30.0,41.67
80,50,F,18740,Divorce(e),Consulting,Directeur Technique,5,29,27,3,2,2,5,3,4,2,Oui,12,Non,1,2,7,2,Transformation Digitale,Occasionnel,13,8,37.57,64.71,93.1,11.11,40.48
81,59,F,7637,Celibataire,Commercial,Cadre Commercial,7,28,21,16,1,3,3,1,4,2,Non,11,Non,0,3,25,3,Infra & Cloud,Occasionnel,7,9,29.12,35.29,75.0,76.19,49.4
83,36,F,10096,Divorce(e),Consulting,Manager,1,17,17,14,3,3,3,3,2,3,Non,13,Non,3,2,8,3,Entrepreunariat,Occasionnel,12,8,27.11,54.71,100.0,82.35,72.92
84,55,F,14756,Divorce(e),Consulting,Senior Manager,2,21,5,0,4,3,4,3,3,3,Oui,14,Non,3,2,8,3,Transformation Digitale,Occasionnel,0,2,63.96,71.18,23.81,0.0,47.92
85,36,M,6499,Celibataire,Consulting,Tech Lead,1,6,6,5,2,2,2,2,3,3,Non,13,Non,0,3,11,3,Infra & Cloud,Frequent,0,3,47.25,41.76,100.0,83.33,57.74
86,45,M,9724,Divorce(e),Consulting,Assistant de Direction,2,25,1,0,2,3,3,1,3,3,Non,17,Non,1,2,7,3,Infra & Cloud,Occasionnel,0,0,62.29,30.0,4.0,0.0,73.81
88,35,M,2194,Marie(e),Consulting,Assistant de Direction,4,5,3,2,2,3,1,1,4,2,Non,13,Non,1,2,1,3,Transformation Digitale,Frequent,1,2,37.57,41.18,60.0,66.67,58.33
90,36,M,3388,Marie(e),Consulting,Assistant de Direction,0,2,1,0,4,2,1,3,1,2,Oui,17,Oui,1,0,9,3,Transformation Digitale,Occasionnel,0,0,51.28,50.0,50.0,0.0,38.69
91,59,F,5473,Celibataire,Commercial,Cadre Commercial,7,20,4,3,1,2,2,3,4,2,Non,11,Non,0,2,1,1,Infra & Cloud,Frequent,1,3,38.56,51.76,20.0,75.0,58.33
94,29,M,2703,Marie(e),Consulting,Assistant de Direction,0,6,5,4,3,3,1,2,4,3,Non,23,Non,1,3,2,3,Infra & Cloud,Occasionnel,0,4,64.23,62.35,83.33,80.0,78.27
95,31,M,2501,Celibataire,Consulting,Assistant de Direction,1,1,1,1,3,3,1,2,2,3,Non,17,Non,0,4,1,4,Transformation Digitale,Occasionnel,1,0,47.54,40.0,100.0,100.0,79.17
96,32,M,6220,Marie(e),Consulting,Assistant de Direction,1,10,10,4,2,3,2,2,2,3,Non,17,Non,2,3,1,3,Infra & Cloud,Occasionnel,0,9,56.2,35.29,100.0,40.0,79.17
97,36,F,3038,Marie(e),Consulting,Consultant,3,5,1,0,2,4,1,4,2,3,Non,12,Non,0,3,6,3,Infra & Cloud,Occasionnel,0,0,38.88,50.0,20.0,0.0,74.7
98,31,F,4424,Celibataire,Consulting,Tech Lead,1,11,11,7,3,3,2,4,4,3,Non,23,Non,0,2,8,4,Infra & Cloud,Occasionnel,1,8,65.02,84.71,100.0,63.64,72.92
100,35,M,4312,Celibataire,Commercial,Cadre Commercial,0,16,15,13,3,2,2,1,2,3,Non,14,Non,0,2,1,4,Marketing,Occasionnel,2,8,41.41,34.71,93.75,86.67,79.17
101,45,M,13245,Marie(e),Consulting,Directeur Technique,4,17,0,0,4,3,3,1,2,4,Oui,14,Non,0,3,6,4,Autre,Occasionnel,0,0,61.33,40.0,0.0,0.0,58.04
102,37,M,13664,Celibataire,Consulting,Directeur Technique,4,16,5,2,1,3,3,3,1,4,Non,13,Non,0,3,7,4,Transformation Digitale,Occasionnel,0,2,59.71,21.18,31.25,40.0,82.14
103,46,M,5021,Divorce(e),Ressources Humaines,Ressources Humaines,8,16,4,2,2,3,2,2,4,3,Oui,22,Non,1,2,5,2,Transformation Digitale,Occasionnel,0,2,65.9,51.18,25.0,50.0,50.6
104,30,M,5126,Marie(e),Consulting,Consultant,1,10,10,8,4,2,2,4,3,2,Oui,12,Non,2,1,1,1,Infra & Cloud,Occasionnel,3,0,35.91,80.0,100.0,80.0,45.83
105,35,M,2859,Celibataire,Consulting,Assistant de Direction,1,6,6,4,2,2,1,3,1,3,Non,18,Non,0,3,1,3,Transformation Digitale,Occasionnel,0,4,52.71,32.35,100.0,66.67,79.17
106,55,M,10239,Marie(e),Commercial,Cadre Commercial,3,24,1,0,1,3,3,4,4,3,Non,14,Non,1,4,1,2,Infra & Cloud,Occasionnel,1,0,53.91,60.0,4.17,0.0,79.17
107,38,F,5329,Divorce(e),Consulting,Assistant de Direction,7,17,13,11,2,1,2,4,4,3,Oui,12,Non,3,3,6,3,Transformation Digitale,Aucun,1,9,40.66,75.29,76.47,84.62,62.2
110,34,M,4325,Marie(e),Consulting,Tech Lead,1,5,5,2,1,3,2,2,3,3,Non,15,Non,0,2,1,2,Transformation Digitale,Occasionnel,1,3,45.99,31.76,100.0,40.0,79.17
112,56,M,7260,Celibataire,Consulting,Tech Lead,4,37,6,4,4,1,3,4,1,2,Non,11,Non,0,3,7,3,Infra & Cloud,Occasionnel,0,2,43.86,61.18,16.22,66.67,65.48
113,23,M,2322,Divorce(e),Commercial,Representant Commercial,3,3,0,0,3,3,1,1,3,3,Non,13,Non,1,3,2,1,Entrepreunariat,Occasionnel,0,0,40.0,40.0,0.0,0.0,78.27
116,51,M,2075,Marie(e),Consulting,Consultant,3,10,4,2,4,3,1,4,2,3,Non,23,Non,2,4,9,4,Infra & Cloud,Occasionnel,0,3,63.14,71.76,40.0,50.0,72.02
117,30,M,4152,Marie(e),Consulting,Manager,1,11,11,10,3,2,2,4,1,3,Non,19,Non,3,3,2,3,Infra & Cloud,Occasionnel,10,8,35.32,54.71,100.0,90.91,78.27
118,46,M,9619,Celibataire,Commercial,Cadre Commercial,1,9,9,8,3,2,3,4,4,3,Non,16,Oui,0,3,9,2,Transformation Digitale,Occasionnel,4,7,50.95,84.12,100.0,88.89,72.02
119,40,M,13503,Marie(e),Consulting,Manager,1,22,22,3,3,2,4,2,4,2,Non,22,Non,1,3,1,4,Infra & Cloud,Frequent,11,11,56.44,66.47,100.0,13.64,58.33
120,51,M,5441,Celibataire,Commercial,Cadre Commercial,0,11,10,7,3,3,2,4,4,1,Oui,22,Non,0,2,21,4,Marketing,Occasionnel,1,0,64.43,80.0,90.91,70.0,19.64
121,30,F,5209,Divorce(e),Commercial,Cadre Commercial,1,11,11,8,3,2,2,2,2,2,Oui,12,Non,3,4,4,2,Transformation Digitale,Occasionnel,2,7,38.26,44.12,100.0,72.73,43.15
124,46,M,10673,Marie(e),Consulting,Manager,2,21,10,9,3,2,3,1,3,2,Oui,13,Non,1,5,1,3,Transformation Digitale,Frequent,9,5,34.71,42.94,47.62,90.0,33.33
125,32,M,5010,Celibataire,Commercial,Cadre Commercial,1,12,11,8,2,3,2,3,1,3,Non,16,Non,0,0,6,4,Transformation Digitale,Occasionnel,5,7,40.74,34.12,91.67,72.73,74.7
126,54,F,13549,Marie(e),Consulting,Directeur Technique,9,16,4,3,1,3,3,3,1,1,Non,12,Non,1,5,2,4,Entrepreunariat,Occasionnel,0,3,57.15,21.76,25.0,75.0,61.61
128,24,F,4999,Marie(e),Commercial,Cadre Commercial,0,4,3,2,1,3,2,3,1,2,Non,21,Non,1,2,3,2,Autre,Occasionnel,0,2,63.51,21.18,75.0,66.67,69.05
129,28,M,4221,Marie(e),Commercial,Cadre Commercial,1,5,5,4,2,3,2,3,2,4,Non,15,Non,0,3,4,3,Transformation Digitale,Aucun,0,4,48.01,42.35,100.0,80.0,97.32
131,58,M,13872,Celibataire,Commercial,Cadre Commercial,0,38,37,10,4,3,4,3,3,2,Non,13,Non,0,1,10,4,Transformation Digitale,Occasionnel,1,8,57.87,74.71,97.37,27.03,62.8
132,44,M,2042,Marie(e),Consulting,Consultant,4,17,3,2,2,3,2,2,3,4,Non,12,Non,1,3,23,3,Transformation Digitale,Aucun,1,2,34.95,41.18,17.65,66.67,80.36
133,37,M,2073,Divorce(e),Ressources Humaines,Ressources Humaines,4,7,3,2,3,3,1,1,4,3,Oui,22,Oui,0,3,6,4,Ressources Humaines,Occasionnel,0,2,60.78,51.18,42.86,66.67,49.7
134,32,M,2956,Celibataire,Consulting,Assistant de Direction,1,1,1,0,4,3,1,1,4,3,Non,13,Non,0,2,1,1,Infra & Cloud,Occasionnel,0,0,41.1,60.0,100.0,0.0,79.17
137,20,F,2926,Celibataire,Consulting,Consultant,1,1,1,0,4,2,1,4,2,3,Oui,18,Oui,0,5,6,3,Infra & Cloud,Frequent,1,0,50.63,70.0,100.0,0.0,37.2
138,34,F,4809,Celibataire,Consulting,Assistant de Direction,1,16,16,13,1,3,2,3,3,3,Non,14,Non,0,3,6,4,Autre,Occasionnel,2,10,42.27,45.88,100.0,81.25,74.7
139,37,M,5163,Divorce(e),Consulting,Manager,5,17,1,0,3,2,2,4,4,4,Non,14,Non,1,2,2,2,Infra & Cloud,Aucun,0,0,47.29,80.0,5.88,0.0,99.11
140,59,F,18844,Marie(e),Ressources Humaines,Senior Manager,9,30,3,2,3,2,5,4,4,3,Non,21,Non,1,3,2,4,Ressources Humaines,Aucun,2,2,83.16,81.18,10.0,66.67,90.77
141,50,F,18172,Marie(e),Consulting,Directeur Technique,3,28,8,3,1,3,5,2,1,2,Oui,19,Non,0,1,1,3,Infra & Cloud,Frequent,0,7,81.68,14.12,28.57,37.5,33.33
142,25,M,5744,Celibataire,Commercial,Cadre Commercial,1,6,6,4,3,2,2,3,4,3,Oui,11,Oui,0,1,5,3,Marketing,Occasionnel,0,3,41.23,71.76,100.0,66.67,50.6
143,25,M,2889,Marie(e),Consulting,Assistant de Direction,1,2,2,2,4,2,1,4,3,3,Non,11,Non,2,2,7,1,Transformation Digitale,Occasionnel,2,1,31.87,80.59,100.0,100.0,73.81
144,22,F,2871,Celibataire,Consulting,Consultant,1,1,0,0,2,3,1,4,3,3,Non,15,Non,0,5,15,3,Transformation Digitale,Occasionnel,0,0,45.66,60.0,0.0,0.0,66.67
145,51,F,7484,Celibataire,Consulting,Manager,3,23,13,12,1,2,3,1,3,2,Non,20,Non,0,1,1,4,Transformation Digitale,Frequent,12,8,39.07,24.71,56.52,92.31,58.33
147,34,M,6074,Celibataire,Consulting,Consultant,1,9,9,7,1,1,2,3,4,3,Oui,24,Oui,0,3,7,3,Infra & Cloud,Frequent,0,6,72.44,53.53,100.0,77.78,36.31
148,54,F,17328,Celibataire,Ressources Humaines,Senior Manager,2,23,5,3,4,4,4,4,3,3,Oui,12,Non,0,3,26,3,Ressources Humaines,Aucun,4,4,54.92,82.35,21.74,60.0,44.35
150,24,M,2774,Marie(e),Consulting,Consultant,0,6,5,3,2,3,1,3,3,3,Non,12,Non,1,2,18,1,Infra & Cloud,Occasionnel,1,2,36.22,51.18,83.33,60.0,63.99
151,34,F,4505,Divorce(e),Consulting,Assistant de Direction,6,12,1,0,3,2,2,2,3,3,Non,15,Non,1,3,6,4,Infra & Cloud,Occasionnel,0,0,48.5,50.0,8.33,0.0,74.7
152,37,M,7428,Celibataire,Commercial,Cadre Commercial,2,12,5,3,3,3,3,4,1,3,Non,12,Non,0,3,3,3,Infra & Cloud,Occasionnel,1,3,44.31,51.76,41.67,60.0,77.38
153,34,F,11631,Celibataire,Consulting,Senior Manager,2,14,11,10,3,2,3,1,4,3,Non,12,Non,0,6,5,3,Transformation Digitale,Occasionnel,5,8,42.82,54.71,78.57,90.91,75.6
154,36,F,9738,Marie(e),Commercial,Cadre Commercial,0,10,9,7,2,3,3,4,3,3,Non,14,Non,1,6,11,2,Entrepreunariat,Frequent,2,8,50.84,64.71,90.0,77.78,57.74
155,36,F,2835,Divorce(e),Consulting,Consultant,5,7,1,0,1,3,1,4,1,3,Non,22,Non,1,2,3,2,Infra & Cloud,Occasionnel,0,0,62.1,30.0,14.29,0.0,77.38
158,43,M,16959,Marie(e),Commercial,Senior Manager,1,25,25,12,3,3,4,4,4,4,Oui,12,Non,2,3,26,2,Infra & Cloud,Frequent,4,12,54.27,87.06,100.0,48.0,27.68
159,30,M,2613,Divorce(e),Consulting,Assistant de Direction,1,10,10,7,1,1,1,3,3,2,Non,25,Non,3,2,23,3,Infra & Cloud,Frequent,0,9,68.79,45.29,100.0,70.0,38.69
160,33,M,6146,Marie(e),Commercial,Cadre Commercial,0,8,7,7,3,3,2,2,1,4,Non,13,Non,1,2,22,2,Marketing,Aucun,0,7,46.64,34.12,87.5,100.0,81.25
161,56,F,4963,Marie(e),Consulting,Assistant de Direction,9,7,5,4,2,3,1,2,1,3,Oui,18,Oui,3,2,14,4,Infra & Cloud,Occasionnel,4,3,47.57,21.76,71.43,80.0,42.56
162,51,M,19537,Celibataire,Consulting,Directeur Technique,7,23,20,18,1,3,5,3,3,3,Non,13,Non,0,5,6,3,Infra & Cloud,Occasionnel,15,15,36.91,48.82,86.96,90.0,74.7
163,31,M,6172,Marie(e),Commercial,Cadre Commercial,4,12,7,7,2,1,2,3,2,2,Oui,18,Oui,0,3,6,4,Infra & Cloud,Occasionnel,7,7,43.07,44.12,58.33,100.0,41.37
164,26,F,2368,Marie(e),Consulting,Assistant de Direction,1,5,5,4,3,2,1,2,3,2,Non,19,Non,0,3,6,3,Autre,Occasionnel,4,3,45.42,51.76,100.0,80.0,66.37
165,58,F,10312,Marie(e),Consulting,Manager,1,40,40,10,4,3,3,4,4,2,Non,12,Oui,1,3,23,4,Transformation Digitale,Occasionnel,15,6,18.52,93.53,100.0,25.0,51.19
167,19,M,1675,Celibataire,Commercial,Representant Commercial,1,0,0,0,4,3,1,3,4,2,Oui,19,Oui,0,2,22,1,Marketing,Occasionnel,0,0,53.01,80.0,0.0,0.0,27.08
169,22,M,2523,Marie(e),Consulting,Consultant,0,3,2,1,3,3,1,4,3,3,Non,14,Non,1,2,2,1,Entrepreunariat,Occasionnel,2,1,38.3,70.59,66.67,50.0,78.27
