a_quitte_l_entreprise,age,annees_dans_l_entreprise,annees_dans_le_poste_actuel,annees_depuis_la_derniere_promotion,annees_experience_totale,annes_sous_responsable_actuel,augmentation_salaire_precedente,departement_Commercial,departement_Consulting,departement_Ressources Humaines,distance_domicile_travail,domaine_etude_Autre,domaine_etude_Entrepreunariat,domaine_etude_Infra & Cloud,domaine_etude_Marketing,domaine_etude_Ressources Humaines,domaine_etude_Transformation Digitale,frequence_deplacement,genre,heure_supplementaires,id_employee,nb_formations_suivies,niveau_education,niveau_hierarchique_poste,nombre_experiences_precedentes,nombre_participation_pee,note_evaluation_precedente,poste_Assistant de Direction,poste_Cadre Commercial,poste_Consultant,poste_Directeur Technique,poste_Manager,poste_Representant Commercial,poste_Ressources Humaines,poste_Senior Manager,poste_Tech Lead,revenu_mensuel,satisfaction_employee_environnement,satisfaction_employee_equilibre_pro_perso,satisfaction_employee_equipe,satisfaction_employee_nature_travail,satisfaction_globale,score_environnement_travail,score_equilibre_pro_perso,score_mobilite_externe,score_mobilite_interne,score_revenu,statut_marital_Celibataire,statut_marital_Divorce(e),statut_marital_Marie(e)
0,35,5,4,0,6,3,13,0,1,0,16,0,0,0,0,0,1,0.5,1,0,14,5,3,1,0,1,4,0,0,1,0,0,0,0,0,0,2426,1,3,3,2,0.56,31.76,65.77,83.33,80.0,40.18,0,0,1
0,29,9,5,0,10,8,12,0,1,0,15,0,0,1,0,0,0,0.5,0,1,15,3,2,2,0,0,2,0,0,1,0,0,0,0,0,0,4193,4,3,4,3,0.88,84.71,41.67,90.0,55.56,40.89,1,0,0
0,31,5,2,4,5,3,17,0,1,0,26,0,0,1,0,0,0,0.5,1,0,16,1,1,1,1,1,3,1,0,0,0,0,0,0,0,0,2911,1,2,4,3,0.62,51.76,48.51,100.0,40.0,41.65,0,1,0
0,34,2,2,1,3,2,11,0,1,0,19,0,0,0,0,0,1,0.5,1,0,18,2,2,1,0,1,3,0,0,1,0,0,0,0,0,0,2661,2,3,3,4,0.75,61.18,63.1,66.67,100.0,33.67,0,1,0
1,28,4,2,0,6,3,14,0,1,0,24,0,0,1,0,0,0,0.5,1,1,19,4,3,1,5,0,2,0,0,1,0,0,0,0,0,0,2028,3,3,2,3,0.69,51.76,33.63,66.67,50.0,41.84,1,0,0
0,29,10,9,8,10,8,11,0,1,0,21,0,0,1,0,0,0,0.5,0,0,20,1,4,3,1,1,4,0,0,0,0,0,0,0,0,1,9980,2,3,3,1,0.56,34.71,61.31,100.0,90.0,30.99,0,1,0
0,32,6,2,0,7,5,12,0,1,0,5,0,0,1,0,0,0,0.5,1,1,21,5,2,1,0,2,4,1,0,0,0,0,0,0,0,0,3298,1,2,4,2,0.56,42.94,42.26,85.71,33.33,39.33,0,1,0
0,22,1,0,0,1,0,13,0,1,0,16,0,0,0,0,0,1,0.0,1,1,22,2,2,1,1,2,4,0,0,1,0,0,0,0,0,0,2935,4,2,2,4,0.75,70.0,44.94,100.0,0.0,41.06,0,1,0
0,53,25,8,3,31,7,16,1,0,0,2,0,0,1,0,0,0,0.5,0,0,23,3,4,4,2,0,2,0,0,0,0,0,0,0,1,0,15427,1,3,3,4,0.69,54.12,78.27,80.65,32.0,63.24,0,0,1
0,38,3,2,1,6,2,11,0,1,0,2,0,0,1,0,0,0,0.5,1,1,24,3,3,1,5,0,3,1,0,0,0,0,0,0,0,0,3944,4,3,3,4,0.88,81.18,53.27,50.0,66.67,35.9,1,0,0
0,24,4,2,1,5,3,18,0,1,0,11,1,0,0,0,0,0,0.0,0,0,26,5,2,2,0,1,4,0,0,0,0,0,0,0,0,1,4011,1,2,4,3,0.62,51.76,74.4,80.0,50.0,52.52,0,1,0
1,36,5,3,0,10,3,23,1,0,0,9,0,0,1,0,0,0,0.5,1,0,27,4,4,1,7,0,2,0,0,0,0,0,1,0,0,0,3407,3,3,2,1,0.56,31.76,72.02,50.0,60.0,65.45,1,0,0
0,34,12,6,2,13,11,11,0,1,0,7,0,0,1,0,0,0,0.5,0,0,28,4,4,3,0,0,3,0,0,0,1,0,0,0,0,0,11994,1,3,3,2,0.56,36.47,73.81,92.31,50.0,47.69,1,0,0
0,21,0,0,0,0,0,14,0,1,0,15,0,0,1,0,0,0,0.5,1,0,30,6,2,1,1,0,3,1,0,0,0,0,0,0,0,0,1232,3,3,4,4,0.88,80.0,66.67,0.0,0.0,40.46,1,0,0
1,34,4,2,1,8,3,11,0,1,0,6,0,0,0,0,0,1,0.5,1,0,31,2,1,1,2,0,3,1,0,0,0,0,0,0,0,0,2960,2,3,3,1,0.56,31.76,74.7,50.0,50.0,34.19,1,0,0
0,53,14,13,4,26,8,11,0,1,0,5,1,0,0,0,0,0,0.5,0,0,32,3,3,5,4,1,3,0,0,0,0,0,0,0,1,0,19094,3,2,4,3,0.75,74.71,67.26,53.85,92.86,55.63,0,1,0
1,32,10,2,6,10,7,22,0,1,0,16,0,0,1,0,0,0,1.0,0,1,33,5,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3919,2,3,2,1,0.5,24.12,28.27,100.0,20.0,50.79,1,0,0
0,42,9,7,4,10,2,11,1,0,0,8,0,0,0,1,0,0,0.5,1,0,35,2,4,2,0,1,3,0,1,0,0,0,0,0,0,0,6825,3,3,4,2,0.75,61.18,72.92,90.0,77.78,34.31,0,0,1
0,44,22,6,5,24,17,14,0,1,0,7,0,0,0,0,0,1,0.5,0,0,36,4,4,3,3,1,2,0,0,0,0,1,0,0,0,0,10248,1,3,4,4,0.75,70.0,73.81,91.67,27.27,45.13,0,0,1
0,46,2,2,2,22,1,12,1,0,0,2,0,0,0,1,0,0,0.5,0,0,38,2,4,5,3,0,3,0,0,0,0,0,0,0,1,0,18947,2,2,4,1,0.56,40.59,69.94,9.09,100.0,62.13,1,0,0
0,33,1,1,0,7,0,11,0,1,0,2,0,0,0,0,0,1,0.5,1,0,39,3,3,1,4,0,3,0,0,1,0,0,0,0,0,0,2496,3,3,4,4,0.88,80.0,78.27,14.29,100.0,35.58,1,0,0
0,44,4,2,1,9,3,13,0,1,0,10,1,0,0,0,0,0,0.5,1,1,40,5,4,2,2,0,3,0,0,0,0,1,0,0,0,0,6465,4,4,4,4,1.0,91.76,54.46,44.44,50.0,45.0,0,0,1
0,30,10,0,1,10,8,13,0,1,0,9,0,0,0,0,0,1,0.5,1,0,41,5,2,1,1,0,2,0,0,1,0,0,0,0,0,0,2206,4,3,1,3,0.69,54.71,72.02,100.0,0.0,37.59,1,0,0
1,39,1,0,0,19,0,14,1,0,0,5,0,1,0,0,0,0,0.5,1,0,42,6,3,2,3,1,3,0,0,0,0,0,1,0,0,0,2086,4,4,3,4,0.94,80.0,83.93,5.26,0.0,41.94,0,0,1
1,24,2,0,2,6,0,16,0,1,0,1,0,0,0,0,0,1,0.5,1,1,45,2,3,1,2,1,3,1,0,0,0,0,0,0,0,0,2293,2,2,1,4,0.56,40.0,45.83,33.33,0.0,42.62,0,0,1
0,43,5,3,1,6,4,12,0,1,0,2,0,0,0,0,0,1,0.5,0,0,46,3,2,1,1,2,4,1,0,0,0,0,0,0,0,0,2645,4,2,4,3,0.81,82.35,69.94,83.33,60.0,36.0,0,1,0
1,50,3,2,0,3,2,14,1,0,0,3,0,0,0,1,0,0,0.5,1,1,47,2,2,1,1,0,2,0,0,0,0,0,1,0,0,0,2683,1,3,3,3,0.62,41.18,52.38,100.0,66.67,42.98,0,0,1
0,35,2,2,2,2,2,13,1,0,0,2,0,0,0,1,0,0,0.5,0,0,49,3,3,1,1,0,3,0,0,0,0,0,1,0,0,0,2014,4,3,1,4,0.75,61.18,78.27,100.0,100.0,35.06,0,0,1
0,36,1,1,0,6,0,14,0,1,0,5,0,0,1,0,0,0,0.5,0,1,51,3,4,1,9,1,2,1,0,0,0,0,0,0,0,0,3419,2,4,4,1,0.69,40.0,58.93,16.67,100.0,44.26,0,0,1
0,33,5,3,1,10,3,19,1,0,0,1,0,0,1,0,0,0,1.0,0,0,52,3,3,2,2,2,4,0,1,0,0,0,0,0,0,0,5376,3,3,1,1,0.5,21.76,66.67,50.0,60.0,57.25,0,0,1
0,35,1,0,0,1,0,12,0,1,0,4,1,0,0,0,0,0,0.5,1,0,53,3,2,1,1,1,3,0,0,1,0,0,0,0,0,0,1951,3,3,3,4,0.81,70.0,76.49,100.0,0.0,36.99,0,1,0
0,27,1,0,0,1,0,13,0,1,0,2,0,0,1,0,0,0,0.5,0,0,54,6,4,1,1,1,3,0,0,1,0,0,0,0,0,0,2341,4,3,4,1,0.75,60.0,78.27,100.0,0.0,40.03,0,1,0
1,26,1,0,0,1,1,12,0,1,0,25,0,0,1,0,0,0,0.5,1,0,55,2,3,1,1,0,1,0,0,1,0,0,0,0,0,0,2293,1,2,3,3,0.56,40.59,49.4,100.0,0.0,37.59,1,0,0
0,27,9,8,1,9,7,15,1,0,0,8,0,0,1,0,0,0,1.0,1,0,56,0,3,3,1,0,3,0,1,0,0,0,0,0,0,0,8726,4,3,4,3,0.88,84.12,60.42,100.0,88.89,53.64,1,0,0
0,30,12,8,3,12,7,23,0,1,0,1,0,0,0,0,0,1,1.0,0,0,57,2,2,2,1,0,3,0,0,1,0,0,0,0,0,0,4011,3,3,4,4,0.88,84.12,66.67,100.0,66.67,59.9,1,0,0
1,41,22,15,15,23,8,12,0,1,0,12,0,1,0,0,0,0,0.5,0,0,58,0,3,5,1,0,3,0,0,0,1,0,0,0,0,0,19545,2,3,4,3,0.75,64.71,69.35,95.65,68.18,34.57,0,0,1
0,34,9,5,8,10,7,20,1,0,0,23,0,0,0,1,0,0,0.0,1,0,60,2,4,2,0,0,3,0,1,0,0,0,0,0,0,0,4568,2,3,3,3,0.69,54.12,72.02,90.0,55.56,42.8,1,0,0
0,37,1,0,0,8,0,21,0,1,0,19,0,0,1,0,0,0,0.5,1,0,61,1,2,1,4,0,3,1,0,0,0,0,0,0,0,0,3022,2,3,1,2,0.5,20.0,63.1,12.5,0.0,60.07,0,0,1
0,46,9,6,0,14,8,21,1,0,0,5,0,0,0,1,0,0,1.0,1,1,62,4,4,2,4,0,3,0,1,0,0,0,0,0,0,0,5772,1,3,3,4,0.69,54.71,38.1,64.29,66.67,64.85,1,0,0
0,35,1,0,0,1,1,19,0,1,0,8,0,0,1,0,0,0,0.5,1,0,63,2,1,1,1,0,4,0,0,1,0,0,0,0,0,0,2269,4,3,4,4,0.94,90.59,72.92,100.0,0.0,54.05,0,0,1
1,48,1,0,0,23,0,13,0,1,0,1,0,0,1,0,0,0,0.5,1,1,64,2,2,3,9,0,2,0,0,1,0,0,0,0,0,0,5381,1,3,4,3,0.69,50.0,54.17,4.35,0.0,45.31,1,0,0
1,28,2,2,2,2,2,13,0,1,0,5,0,1,0,0,0,0,0.5,1,1,65,3,4,1,1,0,3,0,0,1,0,0,0,0,0,0,3441,3,2,3,3,0.69,61.18,42.26,100.0,100.0,37.54,1,0,0
0,44,4,3,1,9,3,21,1,0,0,1,0,0,0,1,0,0,0.5,0,1,68,2,5,2,5,1,3,0,1,0,0,0,0,0,0,0,5454,2,2,3,1,0.5,31.76,45.83,44.44,75.0,62.1,0,1,0
0,35,4,0,2,10,3,13,0,1,0,11,0,0,0,0,0,1,0.0,1,1,70,3,2,3,2,1,2,0,0,0,0,1,0,0,0,0,9884,3,3,3,1,0.62,41.76,57.74,40.0,0.0,48.74,0,0,1
0,26,2,2,0,5,0,19,1,0,0,23,0,0,0,1,0,0,0.5,0,1,72,2,3,2,7,1,2,0,1,0,0,0,0,0,0,0,4157,3,2,3,4,0.75,70.0,26.19,40.0,100.0,57.33,0,0,1
0,33,15,14,8,15,12,12,0,1,0,1,0,0,1,0,0,0,1.0,0,1,73,1,2,3,1,0,3,0,0,0,1,0,0,0,0,0,13458,1,3,3,4,0.69,57.06,41.67,100.0,93.33,39.39,1,0,0
0,35,9,8,1,9,8,22,1,0,0,18,0,0,1,0,0,0,1.0,1,0,74,3,5,3,1,1,3,0,1,0,0,0,0,0,0,0,9069,2,2,4,1,0.56,44.71,43.15,100.0,88.89,70.73,0,0,1
0,35,2,2,2,4,2,15,0,1,0,23,0,0,0,0,0,1,0.5,0,1,75,3,4,1,3,1,3,0,0,1,0,0,0,0,0,0,4014,3,3,3,1,0.62,41.18,34.52,50.0,100.0,43.25,0,0,1
0,31,7,7,1,10,7,22,0,1,0,7,0,0,1,0,0,0,0.5,1,0,76,3,4,2,3,1,3,0,0,1,0,0,0,0,0,0,5915,4,2,4,4,0.88,94.12,65.48,70.0,100.0,65.25,0,1,0
0,37,7,5,0,7,7,18,0,1,0,1,0,0,1,0,0,0,0.5,1,0,77,2,4,2,1,1,2,0,0,0,0,0,0,0,0,1,5993,1,4,3,3,0.69,44.12,87.5,100.0,71.43,58.16,0,1,0
0,32,9,8,7,9,8,22,0,1,0,1,0,0,0,0,0,1,0.5,1,1,78,3,3,2,1,1,3,0,0,0,0,0,0,0,0,1,6162,1,3,2,4,0.62,44.71,54.17,100.0,88.89,52.48,0,0,1
0,38,10,3,9,10,9,11,0,1,0,29,0,0,1,0,0,0,1.0,0,0,79,2,5,2,1,0,3,0,0,1,0,0,0,0,0,0,2406,4,3,4,4,0.94,95.29,41.67,100.0,30.0,15.63,1,0,0
0,50,27,3,13,29,8,12,0,1,0,7,0,0,0,0,0,1,0.5,0,1,80,2,2,5,5,1,2,0,0,0,1,0,0,0,0,0,18740,2,2,4,3,0.69,64.71,40.48,93.1,11.11,37.57,0,1,0
0,59,21,16,7,28,9,11,1,0,0,25,0,0,1,0,0,0,0.5,0,0,81,3,3,3,7,0,3,0,1,0,0,0,0,0,0,0,7637,1,2,4,1,0.5,35.29,49.4,75.0,76.19,29.12,1,0,0
0,36,17,14,12,17,8,13,0,1,0,8,0,1,0,0,0,0,0.5,0,0,83,2,3,3,1,3,3,0,0,0,0,1,0,0,0,0,10096,3,3,2,3,0.69,54.71,72.92,100.0,82.35,27.11,0,1,0
0,55,5,0,0,21,2,14,0,1,0,8,0,0,0,0,0,1,0.5,0,1,84,2,3,4,2,3,3,0,0,0,0,0,0,0,1,0,14756,4,3,3,3,0.81,71.18,47.92,23.81,0.0,63.96,0,1,0
0,36,6,5,0,6,3,13,0,1,0,11,0,0,1,0,0,0,1.0,1,0,85,3,3,2,1,0,2,0,0,0,0,0,0,0,0,1,6499,2,3,3,2,0.62,41.76,57.74,100.0,83.33,47.25,1,0,0
0,45,1,0,0,25,0,17,0,1,0,7,0,0,1,0,0,0,0.5,1,0,86,2,3,3,2,1,3,1,0,0,0,0,0,0,0,0,9724,2,3,3,1,0.56,30.0,73.81,4.0,0.0,62.29,0,1,0
0,35,3,2,1,5,2,13,0,1,0,1,0,0,0,0,0,1,1.0,1,0,88,2,3,1,4,1,3,1,0,0,0,0,0,0,0,0,2194,2,2,4,1,0.56,41.18,58.33,60.0,66.67,37.57,0,0,1
1,36,1,0,0,2,0,17,0,1,0,9,0,0,0,0,0,1,0.5,1,1,90,0,3,1,0,1,2,1,0,0,0,0,0,0,0,0,3388,4,2,1,3,0.62,50.0,38.69,50.0,0.0,51.28,0,0,1
0,59,4,3,1,20,3,11,1,0,0,1,0,0,1,0,0,0,1.0,0,0,91,2,1,2,7,0,2,0,1,0,0,0,0,0,0,0,5473,1,2,4,3,0.62,51.76,58.33,20.0,75.0,38.56,1,0,0
0,29,5,4,0,6,4,23,0,1,0,2,0,0,1,0,0,0,0.5,1,0,94,3,3,1,0,1,3,1,0,0,0,0,0,0,0,0,2703,3,3,4,2,0.75,62.35,78.27,83.33,80.0,64.23,0,0,1
0,31,1,1,1,1,0,17,0,1,0,1,0,0,0,0,0,1,0.5,1,0,95,4,4,1,1,0,3,1,0,0,0,0,0,0,0,0,2501,3,3,2,2,0.62,40.0,79.17,100.0,100.0,47.54,1,0,0
0,32,10,4,0,10,9,17,0,1,0,1,0,0,1,0,0,0,0.5,1,0,96,3,3,2,1,2,3,1,0,0,0,0,0,0,0,0,6220,2,3,2,2,0.56,35.29,79.17,100.0,40.0,56.2,0,0,1
0,36,1,0,0,5,0,12,0,1,0,6,0,0,1,0,0,0,0.5,0,0,97,3,3,1,3,0,4,0,0,1,0,0,0,0,0,0,3038,2,3,2,4,0.69,50.0,74.7,20.0,0.0,38.88,0,0,1
0,31,11,7,1,11,8,23,0,1,0,8,0,0,1,0,0,0,0.5,0,0,98,2,4,2,1,0,3,0,0,0,0,0,0,0,0,1,4424,3,3,4,4,0.88,84.71,72.92,100.0,63.64,65.02,1,0,0
0,35,15,13,2,16,8,14,1,0,0,1,0,0,0,1,0,0,0.5,1,0,100,2,4,2,0,0,2,0,1,0,0,0,0,0,0,0,4312,3,3,2,1,0.56,34.71,79.17,93.75,86.67,41.41,1,0,0
0,45,0,0,0,17,0,14,0,1,0,6,1,0,0,0,0,0,0.5,1,1,101,3,4,3,4,0,3,0,0,0,1,0,0,0,0,0,13245,4,4,2,1,0.69,40.0,58.04,0.0,0.0,61.33,0,0,1
0,37,5,2,0,16,2,13,0,1,0,7,0,0,0,0,0,1,0.5,1,0,102,3,4,3,4,0,3,0,0,0,1,0,0,0,0,0,13664,1,4,1,3,0.56,21.18,82.14,31.25,40.0,59.71,1,0,0
0,46,4,2,0,16,2,22,0,0,1,5,0,0,0,0,0,1,0.5,1,1,103,2,2,2,8,1,3,0,0,0,0,0,0,1,0,0,5021,2,3,4,2,0.69,51.18,50.6,25.0,50.0,65.9,0,1,0
0,30,10,8,3,10,0,12,0,1,0,1,0,0,1,0,0,0,0.5,1,1,104,1,1,2,1,2,2,0,0,1,0,0,0,0,0,0,5126,4,2,3,4,0.81,80.0,45.83,100.0,80.0,35.91,0,0,1
0,35,6,4,0,6,4,18,0,1,0,1,0,0,0,0,0,1,0.5,1,0,105,3,3,1,1,0,2,1,0,0,0,0,0,0,0,0,2859,2,3,1,3,0.56,32.35,79.17,100.0,66.67,52.71,1,0,0
0,55,1,0,1,24,0,14,1,0,0,1,0,0,1,0,0,0,0.5,1,0,106,4,2,3,3,1,3,0,1,0,0,0,0,0,0,0,10239,1,3,4,4,0.75,60.0,79.17,4.17,0.0,53.91,0,0,1
0,38,13,11,1,17,9,12,0,1,0,6,0,0,0,0,0,1,0.0,0,1,107,3,3,2,7,3,1,1,0,0,0,0,0,0,0,0,5329,2,3,4,4,0.81,75.29,62.2,76.47,84.62,40.66,0,1,0
0,34,5,2,1,5,3,15,0,1,0,1,0,0,0,0,0,1,0.5,1,0,110,2,2,2,1,0,3,0,0,0,0,0,0,0,0,1,4325,1,3,3,2,0.56,31.76,79.17,100.0,40.0,45.99,0,0,1
0,56,6,4,0,37,2,11,0,1,0,7,0,0,1,0,0,0,0.5,1,0,112,3,3,3,4,0,1,0,0,0,0,0,0,0,0,1,7260,4,2,1,4,0.69,61.18,65.48,16.22,66.67,43.86,1,0,0
0,23,0,0,0,3,0,13,1,0,0,2,0,1,0,0,0,0,0.5,1,0,113,3,1,1,3,1,3,0,0,0,0,0,1,0,0,0,2322,3,3,3,1,0.62,40.0,78.27,0.0,0.0,40.0,0,1,0
0,51,4,2,0,10,3,23,0,1,0,9,0,0,1,0,0,0,0.5,1,0,116,4,4,1,3,2,3,0,0,1,0,0,0,0,0,0,2075,4,3,2,4,0.81,71.76,72.02,40.0,50.0,63.14,0,0,1
0,30,11,10,10,11,8,19,0,1,0,2,0,0,1,0,0,0,0.5,1,0,117,3,3,2,1,3,2,0,0,0,0,1,0,0,0,0,4152,3,3,1,4,0.69,54.71,78.27,100.0,90.91,35.32,0,0,1
1,46,9,8,4,9,7,16,1,0,0,9,0,0,0,0,0,1,0.5,1,0,118,3,2,3,1,0,2,0,1,0,0,0,0,0,0,0,9619,3,3,4,4,0.88,84.12,72.02,100.0,88.89,50.95,1,0,0
0,40,22,3,11,22,11,22,0,1,0,1,0,0,1,0,0,0,1.0,1,0,119,3,4,4,1,1,2,0,0,0,0,1,0,0,0,0,13503,3,2,4,2,0.69,66.47,58.33,100.0,13.64,56.44,0,0,1
0,51,10,7,1,11,0,22,1,0,0,21,0,0,0,1,0,0,0.5,1,1,120,2,4,2,0,0,3,0,1,0,0,0,0,0,0,0,5441,3,1,4,4,0.75,80.0,19.64,90.91,70.0,64.43,1,0,0
0,30,11,8,2,11,7,12,1,0,0,4,0,0,0,0,0,1,0.5,0,1,121,4,2,2,1,3,2,0,1,0,0,0,0,0,0,0,5209,3,2,2,2,0.56,44.12,43.15,100.0,72.73,38.26,0,1,0
0,46,10,9,9,21,5,13,0,1,0,1,0,0,0,0,0,1,1.0,1,1,124,5,3,3,2,1,2,0,0,0,0,1,0,0,0,0,10673,3,2,3,1,0.56,42.94,33.33,47.62,90.0,34.71,0,0,1
0,32,11,8,5,12,7,16,1,0,0,6,0,0,0,0,0,1,0.5,1,0,125,0,4,2,1,0,3,0,1,0,0,0,0,0,0,0,5010,2,3,1,3,0.56,34.12,74.7,91.67,72.73,40.74,1,0,0
0,54,4,3,0,16,3,12,0,1,0,2,0,1,0,0,0,0,0.5,0,0,126,5,4,3,9,1,3,0,0,0,1,0,0,0,0,0,13549,1,1,1,3,0.38,21.76,61.61,25.0,75.0,57.15,0,0,1
0,24,3,2,0,4,2,21,1,0,0,3,1,0,0,0,0,0,0.5,0,0,128,2,2,2,0,1,3,0,1,0,0,0,0,0,0,0,4999,1,2,1,3,0.44,21.18,69.05,75.0,66.67,63.51,0,0,1
0,28,5,4,0,5,4,15,1,0,0,4,0,0,0,0,0,1,0.0,1,0,129,3,3,2,1,0,3,0,1,0,0,0,0,0,0,0,4221,2,4,2,3,0.69,42.35,97.32,100.0,80.0,48.01,0,0,1
0,58,37,10,1,38,8,13,1,0,0,10,0,0,0,0,0,1,0.5,1,0,131,1,4,4,0,0,3,0,1,0,0,0,0,0,0,0,13872,4,2,3,3,0.75,74.71,62.8,97.37,27.03,57.87,1,0,0
0,44,3,2,1,17,2,12,0,1,0,23,0,0,0,0,0,1,0.0,1,0,132,3,3,2,4,1,3,0,0,1,0,0,0,0,0,0,2042,2,4,3,2,0.69,41.18,80.36,17.65,66.67,34.95,0,0,1
1,37,3,2,0,7,2,22,0,0,1,6,0,0,0,0,1,0,0.5,1,1,133,3,4,1,4,0,3,0,0,0,0,0,0,1,0,0,2073,3,3,4,1,0.69,51.18,49.7,42.86,66.67,60.78,0,1,0
0,32,1,0,0,1,0,13,0,1,0,1,0,0,1,0,0,0,0.5,1,0,134,2,1,1,1,0,3,1,0,0,0,0,0,0,0,0,2956,4,3,4,1,0.75,60.0,79.17,100.0,0.0,41.1,1,0,0
1,20,1,0,1,1,0,18,0,1,0,6,0,0,1,0,0,0,1.0,0,1,137,5,3,1,1,0,2,0,0,1,0,0,0,0,0,0,2926,4,3,2,4,0.81,70.0,37.2,100.0,0.0,50.63,1,0,0
0,34,16,13,2,16,10,14,0,1,0,6,1,0,0,0,0,0,0.5,0,0,138,3,4,2,1,0,3,1,0,0,0,0,0,0,0,0,4809,1,3,3,3,0.62,45.88,74.7,100.0,81.25,42.27,1,0,0
0,37,1,0,0,17,0,14,0,1,0,2,0,0,1,0,0,0,0.0,1,0,139,2,2,2,5,1,2,0,0,0,0,1,0,0,0,0,5163,3,4,4,4,0.94,80.0,99.11,5.88,0.0,47.29,0,1,0
0,59,3,2,2,30,2,21,0,0,1,2,0,0,0,0,1,0,0.0,0,0,140,3,4,5,9,1,2,0,0,0,0,0,0,0,1,0,18844,3,3,4,4,0.88,81.18,90.77,10.0,66.67,83.16,0,0,1
0,50,8,3,0,28,7,19,0,1,0,1,0,0,1,0,0,0,1.0,0,1,141,1,3,5,3,0,3,0,0,0,1,0,0,0,0,0,18172,1,2,1,2,0.38,14.12,33.33,28.57,37.5,81.68,0,0,1
1,25,6,4,0,6,3,11,1,0,0,5,0,0,0,1,0,0,0.5,1,1,142,1,3,2,1,0,2,0,1,0,0,0,0,0,0,0,5744,3,3,4,3,0.81,71.76,50.6,100.0,66.67,41.23,1,0,0
0,25,2,2,2,2,1,11,0,1,0,7,0,0,0,0,0,1,0.5,1,0,143,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,2889,4,3,3,4,0.88,80.59,73.81,100.0,100.0,31.87,0,0,1
